EFAEC_00001	136	140	139	135	148	151
EFAEC_00003	1673	1633	1467	720	905	849
EFAEC_00004	444	413	341	157	216	165
EFAEC_00005	1351	1233	1225	1091	1224	1202
EFAEC_00006	1521	1522	1434	1633	1883	1714
EFAEC_00007	101	87	82	55	57	67
EFAEC_00008	117	136	121	89	115	134
EFAEC_00009	9335	9692	8911	12219	14155	13465
EFAEC_00010	1632	1495	1420	996	1215	1038
EFAEC_00011	662	703	638	798	943	862
EFAEC_00012	716	704	585	878	1070	971
EFAEC_00013	1210	1010	1022	1297	1515	1320
EFAEC_00014	4880	4702	4168	6373	7790	6814
EFAEC_00015	20069	22906	21170	18837	22245	19911
EFAEC_00016	6	7	12	5	2	6
EFAEC_00017	35	29	34	66	77	79
EFAEC_00018	0	0	0	0	0	0
EFAEC_00019	2	15	9	3	4	5
EFAEC_00020	215	274	297	174	231	179
EFAEC_00021	672	806	839	6978	7175	6739
EFAEC_00022	7	16	16	13	13	13
EFAEC_00023	1191	1357	985	8557	8256	7156
EFAEC_00024	2467	2396	2171	1052	1203	1115
EFAEC_00025	718	743	764	657	810	728
EFAEC_00026	8	11	7	8	12	6
EFAEC_00027	111	120	118	240	283	242
EFAEC_00028	175	189	151	469	552	517
EFAEC_00029	0	0	1	0	1	0
EFAEC_00030	42	47	38	50	60	55
EFAEC_00031	5506	5272	4934	11393	13392	11710
EFAEC_00033	543	544	529	228	231	222
EFAEC_00034	1948	2073	1810	3032	3093	3126
EFAEC_00035	958	1193	995	868	1054	890
EFAEC_00036	229	233	212	214	217	227
EFAEC_00037	1158	1231	1042	942	951	916
EFAEC_00038	269	292	283	1851	1987	1644
EFAEC_00039	381	366	335	1100	1290	1185
EFAEC_00040	381	251	232	1124	1188	1251
EFAEC_00041	25	20	26	38	43	44
EFAEC_00042	534	565	517	2288	2519	2314
EFAEC_00043	1215	1196	1125	4967	5479	5258
EFAEC_00044	349	413	344	1304	1638	1562
EFAEC_00045	449	486	443	1528	1970	1685
EFAEC_00046	477	497	389	1973	2153	2056
EFAEC_00047	88	59	75	282	299	328
EFAEC_00048	31	24	22	77	103	90
EFAEC_00049	52	46	29	125	132	122
EFAEC_00050	346	370	294	862	875	866
EFAEC_00051	93	81	85	211	252	220
EFAEC_00052	78	106	89	181	231	231
EFAEC_00053	0	0	0	0	0	0
EFAEC_00054	0	0	0	0	0	0
EFAEC_00055	409	401	390	1189	1503	1402
EFAEC_00056	2	2	0	4	8	7
EFAEC_00057	831	956	864	1263	1608	1557
EFAEC_00058	491	455	435	1859	1996	2006
EFAEC_00059	908	883	772	875	1047	843
EFAEC_00060	80	77	67	63	69	58
EFAEC_00061	62	46	42	67	47	54
EFAEC_00062	83	97	85	63	85	87
EFAEC_00063	128	109	93	103	116	127
EFAEC_00064	304	303	268	361	385	377
EFAEC_00065	241	300	235	217	285	268
EFAEC_00066	252	259	226	185	253	261
EFAEC_00067	670	693	612	678	789	747
EFAEC_00068	17	14	7	15	12	19
EFAEC_00069	73	123	101	69	75	101
EFAEC_00070	13	15	16	7	16	13
EFAEC_00071	83	92	76	74	73	95
EFAEC_00072	155	127	118	133	157	147
EFAEC_00073	204	183	163	197	262	280
EFAEC_00074	526	338	342	292	356	332
EFAEC_00075	116	84	84	56	81	77
EFAEC_00076	611	601	516	495	601	583
EFAEC_00077	0	0	0	0	0	0
EFAEC_00078	0	0	0	0	0	0
EFAEC_00079	0	0	0	0	0	0
EFAEC_00080	21	24	13	7	21	21
EFAEC_00081	15	6	9	16	15	15
EFAEC_00082	18	8	12	10	13	13
EFAEC_00083	20	16	16	23	22	20
EFAEC_00084	229	260	206	163	195	163
EFAEC_00085	5	5	3	0	1	1
EFAEC_00086	1	0	1	0	0	0
EFAEC_00087	57	60	58	19	25	19
EFAEC_00088	6	8	6	9	10	9
EFAEC_00089	72	82	66	29	34	35
EFAEC_00090	4	1	2	1	2	0
EFAEC_00091	17228	18511	15784	6209	7246	6874
EFAEC_00092	335	315	300	2149	1940	1864
EFAEC_00093	1602	2021	2062	195	257	225
EFAEC_00094	2285	2166	1980	260	337	293
EFAEC_00095	571	565	525	6202	7510	7026
EFAEC_00096	327	334	302	400	484	396
EFAEC_00097	107	103	112	159	194	205
EFAEC_00098	196	209	191	252	312	261
EFAEC_00099	744	671	621	286	343	319
EFAEC_00100	698	581	550	271	327	280
EFAEC_00101	1580	1322	1083	278	359	317
EFAEC_00102	8355	7063	6353	1506	1878	1551
EFAEC_00103	1893	1570	1633	939	1122	884
EFAEC_00104	178	187	151	327	365	304
EFAEC_00105	713	639	626	1534	1741	1609
EFAEC_00106	1020	1211	1309	5001	6494	5188
EFAEC_00107	5449	5437	4777	4244	4471	4603
EFAEC_00108	7482	7739	6238	5316	5440	5594
EFAEC_00109	2155	2182	1806	1156	1272	1251
EFAEC_00110	1288	1366	1334	266	283	245
EFAEC_00111	780	741	820	187	211	192
EFAEC_00112	2275	2131	1754	371	462	384
EFAEC_00113	5266	4989	4457	1114	1302	1118
EFAEC_00114	760	710	619	228	265	260
EFAEC_00115	7047	7863	6717	3513	3864	4269
EFAEC_00116	4398	3914	3386	1003	1105	1143
EFAEC_00117	1242	1018	999	185	219	197
EFAEC_00118	14942	15642	13202	100438	117835	110517
EFAEC_00119	42	41	36	17	28	28
EFAEC_00120	1	0	0	1	1	0
EFAEC_00121	65	50	55	23	44	48
EFAEC_00122	1598	1668	1557	1316	1449	1403
EFAEC_00123	51660	56093	52892	6436	7575	6615
EFAEC_00124	64014	60646	53781	11170	12395	11322
EFAEC_00125	8154	7458	6297	2245	2780	2431
EFAEC_00126	4740	3892	3757	3333	3833	3407
EFAEC_00127	3304	3402	3095	1131	1304	1178
EFAEC_00128	1019	1049	1085	412	534	482
EFAEC_00129	5849	5050	4754	2956	3501	3058
EFAEC_00130	15722	13637	12019	8385	9135	8338
EFAEC_00131	12206	11903	10784	7276	8359	7511
EFAEC_00132	5777	6314	5918	1224	1433	1301
EFAEC_00133	15136	15378	14249	3882	4320	3994
EFAEC_00134	3014	2703	2601	731	975	877
EFAEC_00135	5490	4643	4019	1339	1448	1480
EFAEC_00136	24140	22240	21307	9655	10732	10180
EFAEC_00137	7614	8419	6650	4726	5675	5384
EFAEC_00138	225	227	186	903	1051	978
EFAEC_00139	800	757	687	3805	4097	3872
EFAEC_00140	347	378	333	1668	1921	1719
EFAEC_00141	1064	873	787	283	338	347
EFAEC_00142	1750	1622	1516	345	418	450
EFAEC_00143	1097	1023	1024	5272	6180	5387
EFAEC_00144	642	564	558	4362	4837	4432
EFAEC_00145	66	69	76	396	435	404
EFAEC_00146	96	133	108	381	438	407
EFAEC_00147	65	72	68	49	41	47
EFAEC_00148	257	302	256	288	363	331
EFAEC_00149	549	639	550	521	570	593
EFAEC_00150	190	189	163	1631	1550	1751
EFAEC_00151	141	108	108	52	69	86
EFAEC_00152	1009	844	719	814	989	847
EFAEC_00153	6930	7434	6742	1275	1449	1419
EFAEC_00154	7065	6936	6487	1367	1402	1350
EFAEC_00155	38043	40125	35445	12067	13588	12485
EFAEC_00156	8393	6765	6084	1917	2140	1991
EFAEC_00157	12	11	11	1	5	2
EFAEC_00158	21203	19928	18095	9061	10645	9418
EFAEC_00159	30403	30857	29287	12177	13584	13315
EFAEC_00160	2626	2587	2322	3985	4415	4123
EFAEC_00161	4627	4285	3836	7044	8234	7528
EFAEC_00162	8668	8373	7978	2889	3423	3058
EFAEC_00163	8907	9429	8017	3532	3965	3494
EFAEC_00164	2830	2826	2499	3373	3550	3374
EFAEC_00165	4738	4927	4376	5174	5781	5266
EFAEC_00166	2331	2447	2316	2407	2971	2682
EFAEC_00167	31	33	35	43	41	56
EFAEC_00168	40	43	45	59	69	66
EFAEC_00169	166	157	166	372	460	373
EFAEC_00170	8	4	3	10	9	11
EFAEC_00171	129	114	103	149	162	153
EFAEC_00172	30	21	30	204	203	246
EFAEC_00173	32	29	25	227	280	237
EFAEC_00174	34	40	26	112	112	123
EFAEC_00175	1531	1523	1264	2345	2536	2427
EFAEC_00176	7775	6656	6301	4935	5517	5075
EFAEC_00177	3401	2713	2572	4813	5910	5427
EFAEC_00178	8937	7679	6974	12434	12994	12060
EFAEC_00179	11070	9496	8361	13282	15446	14424
EFAEC_00180	20913	20932	19248	7141	8363	8725
EFAEC_00181	852	733	748	819	949	821
EFAEC_00182	2896	2613	2369	4647	5216	4860
EFAEC_00183	1086	1024	957	1614	2124	1890
EFAEC_00184	979	972	912	370	387	373
EFAEC_00185	45714	46986	42087	8416	9915	9116
EFAEC_00186	25784	25612	22196	18753	21860	21449
EFAEC_00187	4965	4676	4247	2190	2496	2275
EFAEC_00188	793	694	649	4743	5148	4892
EFAEC_00189	51	54	42	1413	1479	1378
EFAEC_00190	17	18	18	246	207	250
EFAEC_00191	12050	12506	10120	213	257	247
EFAEC_00192	17773	22216	16760	197	281	292
EFAEC_00193	17504	17799	16691	306	372	337
EFAEC_00194	1874	1876	1684	1071	1305	1145
EFAEC_00195	6082	5923	5321	3520	3952	3731
EFAEC_00196	5935	4960	4602	3075	3408	3137
EFAEC_00197	3322	2580	2299	1226	1628	1417
EFAEC_00198	5765	4888	4656	2764	3529	3147
EFAEC_00199	9960	8296	7880	7252	8240	7501
EFAEC_00200	18563	16095	13780	12738	14481	14050
EFAEC_00201	5673	5551	4873	906	973	930
EFAEC_00202	103	95	124	25	26	28
EFAEC_00203	1546	1373	1409	521	617	588
EFAEC_00204	340	286	242	518	615	625
EFAEC_00205	169	210	155	105	107	105
EFAEC_00206	89	71	62	88	87	76
EFAEC_00207	92	80	83	117	131	113
EFAEC_00208	2141	2089	1855	512	593	555
EFAEC_00209	2442	2171	2036	754	960	864
EFAEC_00210	3707	3490	2959	1238	1400	1204
EFAEC_00211	3074	3048	2767	1066	1271	1181
EFAEC_00212	4209	3675	3436	1221	1473	1242
EFAEC_00213	791	855	792	239	278	254
EFAEC_00214	2325	2674	2236	719	848	743
EFAEC_00215	409	410	423	176	209	212
EFAEC_00216	39	43	37	49	56	47
EFAEC_00217	43	68	59	83	92	107
EFAEC_00218	110	121	110	49	46	49
EFAEC_00219	71	71	75	36	31	41
EFAEC_00220	22	21	30	13	29	22
EFAEC_00221	44	50	41	65	66	77
EFAEC_00222	88	84	78	79	83	79
EFAEC_00223	34	25	26	27	32	28
EFAEC_00224	867	884	812	571	758	671
EFAEC_00225	596	546	531	359	405	385
EFAEC_00226	1316	1421	1207	771	839	762
EFAEC_00227	1081	1104	933	523	552	478
EFAEC_00228	1515	1538	1360	579	627	654
EFAEC_00229	34822	34023	31008	7739	8833	7933
EFAEC_00230	777	720	708	74	94	69
EFAEC_00231	1	0	0	0	0	0
EFAEC_00232	1364	1264	1100	1476	1769	1376
EFAEC_00233	1111	946	841	2108	2283	2136
EFAEC_00234	3906	3908	3409	2662	2939	2834
EFAEC_00235	1926	2129	1703	1300	1517	1365
EFAEC_00236	1914	1719	1525	1072	1308	1134
EFAEC_00237	14013	14529	13398	5278	6203	5470
EFAEC_00238	2475	2792	2481	3016	3760	3228
EFAEC_00239	6909	7238	6019	10498	12800	11656
EFAEC_00240	5634	5721	5046	4848	5786	5010
EFAEC_00241	2044	1898	1733	2819	2923	2686
EFAEC_00242	586	501	456	787	821	710
EFAEC_00243	2260	2211	2138	11246	12134	10285
EFAEC_00244	1051	1033	986	2195	2566	2263
EFAEC_00245	3641	4071	3732	6122	7298	6576
EFAEC_00246	4560	4534	4081	8045	9087	8558
EFAEC_00247	2709	2941	2365	5620	6379	5975
EFAEC_00248	0	0	1	0	0	0
EFAEC_00249	454	465	433	405	415	339
EFAEC_00250	467	492	444	395	482	410
EFAEC_00251	926	987	861	1103	1237	1196
EFAEC_00252	2452	2527	2088	593	686	731
EFAEC_00253	541	503	473	187	219	187
EFAEC_00254	1105	1173	1034	353	461	415
EFAEC_00255	3571	3499	3249	2067	2189	2200
EFAEC_00256	654	721	651	722	944	862
EFAEC_00257	1041	956	875	1592	1552	1534
EFAEC_00258	1583	1553	1466	2211	2594	2188
EFAEC_00259	7953	7929	7033	4366	5040	4530
EFAEC_00260	87	80	94	21	30	26
EFAEC_00261	2	2	1	4	6	1
EFAEC_00262	4	11	8	4	6	3
EFAEC_00263	527	617	496	1848	2088	1996
EFAEC_00264	185	227	191	282	311	272
EFAEC_00265	460	390	381	8523	9782	9047
EFAEC_00266	31	15	21	10	6	10
EFAEC_00267	51	27	41	33	31	32
EFAEC_00268	5	6	5	3	9	4
EFAEC_00269	11	15	9	9	7	1
EFAEC_00270	37	33	29	24	28	25
EFAEC_00271	0	0	0	1	0	1
EFAEC_00272	26	20	18	27	21	24
EFAEC_00273	45	65	52	40	45	37
EFAEC_00274	1446	1647	1533	206	281	260
EFAEC_00275	723	495	391	2439	2672	2581
EFAEC_00276	61	55	48	158	202	169
EFAEC_00277	56	59	62	153	164	164
EFAEC_00278	295	333	314	622	732	684
EFAEC_00279	9	9	10	9	10	8
EFAEC_00280	227	276	252	34	40	33
EFAEC_00281	56	56	70	54	41	52
EFAEC_00282	97	92	85	113	126	127
